City ID,City,Lat,Lng,Humidity,Country,Hotel Name
0,ar rumaythah,31.5263,45.2025,35,IQ,No hotel found
1,saint-joseph,-21.3667,55.6167,79,RE,PALM Hotel & Spa
2,bamboo flat,11.7,92.7167,71,IN,Hotel Megapode Nest
3,avarua,-21.2078,-159.775,78,CK,Paradise Inn
4,albany,42.6001,-73.9662,33,US,No hotel found
5,socorro,31.6546,-106.3033,7,US,Courtyard by Marriott
6,bethel,41.3712,-73.414,48,US,Hampton Inn Danbury
7,negombo,7.2083,79.8358,83,LK,Choys Waterfront Residence
8,noumea,-22.2763,166.4572,99,NC,Hotel Gondwana
9,haiku-pauwela,20.9219,-156.3051,68,US,Inn At Mama's Fish House
10,al khawr,25.7667,51.3167,43,QA,No hotel found
11,neiafu,-18.65,-173.9833,78,TO,Port Wine Guest House
12,kailua-kona,19.6406,-155.9956,77,US,Kona Seaside Hotel
13,sur,22.5667,59.5289,60,OM,Sur Hotel
14,san angelo,31.4638,-100.437,24,US,Hilton Hotel
15,illizi,26.4833,8.4667,13,DZ,بوناقة
16,nacozari de garcia,30.3742,-109.6908,8,MX,Hotel Nacozari
17,pecos,31.4229,-103.4932,8,US,Holiday Inn Express & Suites Pecos
18,saint-pierre,-21.3393,55.4781,73,RE,Tropic Hotel
19,la'ie,21.6477,-157.9253,72,US,Courtyard by Marriott
20,tolanaro,-25.0319,46.9987,88,MG,Hôtel Mahavokey
21,eldorado,-23.7869,-54.2836,69,BR,Hotel Laçador
22,georgetown,5.4112,100.3354,89,MY,Page 63 hostel
23,kavaratti,10.5669,72.642,73,IN,No hotel found
24,nuku'alofa,-21.1333,-175.2,88,TO,City Hotel
25,chandpur,29.15,78.2667,27,IN,No hotel found
26,ubari,26.5921,12.7805,11,LY,فندق اوباري
27,tadine,-21.55,167.8833,82,NC,Hôtel Nengoné
28,marialva,-23.485,-51.7917,71,BR,Hotel Vinhedo
29,manakara,-22.1333,48.0167,94,MG,Hotel H1
30,carnarvon,-24.8667,113.6333,45,AU,No hotel found
31,armacao de buzios,-22.7469,-41.8817,72,BR,Vila da Santa
32,arraial do cabo,-22.9661,-42.0278,69,BR,No hotel found
33,roma,43.2128,-75.4557,38,US,Wingate by Wyndham Rome
34,punta del este,-34.9667,-54.95,50,UY,Hotel Aquarium
35,newman,37.3138,-121.0208,42,US,No hotel found
36,atafu village,-8.5421,-172.5159,75,TK,No hotel found
37,east porterville,36.0574,-118.9757,35,US,Best Western Porterville Inn
38,idri,27.5,13.2667,11,LY,No hotel found
39,truth or consequences,33.1284,-107.2528,9,US,Travelodge
40,fernandopolis,-20.2839,-50.2464,67,BR,Sotam Hotel
41,khanpur mahar,27.8436,69.4137,8,PK,No hotel found
42,jirja,26.3383,31.8916,14,EG,No hotel found
43,pisco,-13.7,-76.2167,69,PE,La Portada
44,pacific grove,36.6177,-121.9166,59,US,Pacific Grove Inn
45,hassi messaoud,31.6804,6.0729,38,DZ,AMC
46,mount isa,-20.7333,139.5,43,AU,Ibis Styles
47,sananduva,-27.9497,-51.8067,53,BR,No hotel found
48,homestead meadows north,31.8496,-106.1729,7,US,No hotel found
49,sompeta,18.9333,84.6,58,IN,Haritha Beach Resort
50,songea,-10.6833,35.65,94,TZ,No hotel found
51,diu,20.7141,70.9822,81,IN,Hotel Ankur
52,tocopilla,-22.092,-70.1979,65,CL,hotel Isidora
53,buala,-8.145,159.5921,79,SB,No hotel found
54,cruzeiro do sul,-29.5128,-51.9853,46,BR,Estrela Palace Hotel
55,sinabang,2.4803,96.3801,81,ID,No hotel found
56,cidreira,-30.1811,-50.2056,67,BR,Hotel Castelo
57,salinas,36.6777,-121.6555,46,US,The Traveler's Hotel
58,tejen,37.3834,60.5054,11,TM,Tejen Myhmanhanasy
59,umluj,25.0213,37.2685,51,SA,No hotel found
60,fereydun kenar,36.6864,52.5225,77,IR,هتل کیش مهر
61,tazacorte,28.629,-17.9293,92,ES,App Leyma
62,massawa,15.6097,39.45,76,ER,Seghen International Hotel فندق دولي سيغن
63,darab,28.7519,54.5444,43,IR,محدوده هتل جهانگردی
64,port-vila,-17.7338,168.3219,94,VU,Holiday Inn Resort Vanuatu
65,grand gaube,-20.0064,57.6608,79,MU,Coco Villa
66,kirakira,-10.4544,161.9205,83,SB,No hotel found
67,coquimbo,-29.9533,-71.3436,56,CL,Hotel Iberia
68,le port,-20.9373,55.2919,95,RE,No hotel found
